datestamp,homeTeamForm,awayTeamForm,HOME_TEAM_ARSENAL,HOME_TEAM_ASTONVILLA,HOME_TEAM_BARNSLEY,HOME_TEAM_BIRMINGHAM,HOME_TEAM_BLACKBURN,HOME_TEAM_BLACKPOOL,HOME_TEAM_BOLTON,HOME_TEAM_BOURNEMOUTH,HOME_TEAM_BRADFORD,HOME_TEAM_BRIGHTON,HOME_TEAM_BURNLEY,HOME_TEAM_CARDIFF,HOME_TEAM_CHARLTON,HOME_TEAM_CHELSEA,HOME_TEAM_COVENTRY,HOME_TEAM_CRYSTALPALACE,HOME_TEAM_DERBY,HOME_TEAM_EVERTON,HOME_TEAM_FULHAM,HOME_TEAM_HUDDERSFIELD,HOME_TEAM_HULL,HOME_TEAM_IPSWICH,HOME_TEAM_LEEDS,HOME_TEAM_LEICESTER,HOME_TEAM_LIVERPOOL,HOME_TEAM_MANCITY,HOME_TEAM_MANUNITED,HOME_TEAM_MIDDLESBROUGH,HOME_TEAM_NEWCASTLE,HOME_TEAM_NORWICH,HOME_TEAM_NOTT'MFOREST,HOME_TEAM_OLDHAM,HOME_TEAM_PORTSMOUTH,HOME_TEAM_QPR,HOME_TEAM_READING,HOME_TEAM_SHEFFIELDUNITED,HOME_TEAM_SHEFFIELDWEDS,HOME_TEAM_SOUTHAMPTON,HOME_TEAM_STOKE,HOME_TEAM_SUNDERLAND,HOME_TEAM_SWANSEA,HOME_TEAM_SWINDON,HOME_TEAM_TOTTENHAM,HOME_TEAM_WATFORD,HOME_TEAM_WESTBROM,HOME_TEAM_WESTHAM,HOME_TEAM_WIGAN,HOME_TEAM_WIMBLEDON,HOME_TEAM_WOLVES,AWAY_TEAM_ARSENAL,AWAY_TEAM_ASTONVILLA,AWAY_TEAM_BARNSLEY,AWAY_TEAM_BIRMINGHAM,AWAY_TEAM_BLACKBURN,AWAY_TEAM_BLACKPOOL,AWAY_TEAM_BOLTON,AWAY_TEAM_BOURNEMOUTH,AWAY_TEAM_BRADFORD,AWAY_TEAM_BRIGHTON,AWAY_TEAM_BURNLEY,AWAY_TEAM_CARDIFF,AWAY_TEAM_CHARLTON,AWAY_TEAM_CHELSEA,AWAY_TEAM_COVENTRY,AWAY_TEAM_CRYSTALPALACE,AWAY_TEAM_DERBY,AWAY_TEAM_EVERTON,AWAY_TEAM_FULHAM,AWAY_TEAM_HUDDERSFIELD,AWAY_TEAM_HULL,AWAY_TEAM_IPSWICH,AWAY_TEAM_LEEDS,AWAY_TEAM_LEICESTER,AWAY_TEAM_LIVERPOOL,AWAY_TEAM_MANCITY,AWAY_TEAM_MANUNITED,AWAY_TEAM_MIDDLESBROUGH,AWAY_TEAM_NEWCASTLE,AWAY_TEAM_NORWICH,AWAY_TEAM_NOTT'MFOREST,AWAY_TEAM_OLDHAM,AWAY_TEAM_PORTSMOUTH,AWAY_TEAM_QPR,AWAY_TEAM_READING,AWAY_TEAM_SHEFFIELDUNITED,AWAY_TEAM_SHEFFIELDWEDS,AWAY_TEAM_SOUTHAMPTON,AWAY_TEAM_STOKE,AWAY_TEAM_SUNDERLAND,AWAY_TEAM_SWANSEA,AWAY_TEAM_SWINDON,AWAY_TEAM_TOTTENHAM,AWAY_TEAM_WATFORD,AWAY_TEAM_WESTBROM,AWAY_TEAM_WESTHAM,AWAY_TEAM_WIGAN,AWAY_TEAM_WIMBLEDON,AWAY_TEAM_WOLVES,FTR_A,FTR_D,FTR_H
1993-08-14,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1993-08-14,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1993-08-14,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1993-08-14,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1993-08-14,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1993-08-14,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1993-08-14,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1993-08-14,0.0,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1993-08-14,3.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1993-08-14,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
